Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,372.63,52.47
2,100.0,374.7,52.29
3,90.0,389.07,52.8
4,100.0,406.42,55.14
5,90.0,420.19,59.72
6,100.0,424.61,59.57
7,100.0,391.59,54.65
8,100.0,395.36,54.07
9,90.0,442.08,54.57
10,100.0,515.36,57.71
