Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,1020.74,6.46
2,100.0,977.8,6.31
3,100.0,1164.4,6.52
4,90.0,903.97,6.18
5,100.0,823.41,6.26
6,100.0,842.44,6.16
7,80.0,866.09,6.28
8,90.0,900.79,6.31
9,90.0,1603.96,6.29
10,90.0,1557.32,6.2
