Query Number,Hit Percentage,Total Time,Bootstrap Time
1,80.0,41.32,0.16
2,90.0,38.28,0.12
3,100.0,41.81,0.12
4,90.0,39.47,0.13
5,100.0,37.36,0.13
6,90.0,37.95,0.12
7,90.0,42.04,0.14
8,100.0,42.48,0.16
9,100.0,50.49,0.16
10,0.0,40.95,0.13
