Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,52.04,1.23
2,100.0,38.48,0.96
3,90.0,43.57,1.09
4,90.0,39.81,1.06
5,100.0,40.53,1.02
6,90.0,40.55,1.21
7,100.0,42.72,1.09
8,100.0,45.28,1.28
9,100.0,48.37,1.01
10,100.0,47.09,1.1
