Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,563.7,139.49
2,100.0,579.24,135.69
3,90.0,572.38,134.75
4,100.0,558.17,136.94
5,100.0,534.04,135.14
6,100.0,541.7,137.2
7,100.0,550.48,137.09
8,100.0,587.03,140.1
9,100.0,586.84,123.14
10,90.0,588.48,127.14
