Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,51.15,0.6
2,90.0,41.4,0.54
3,100.0,40.81,0.51
4,100.0,42.42,0.51
5,100.0,39.45,0.51
6,90.0,46.02,0.58
7,90.0,41.56,0.54
8,90.0,53.29,0.67
9,100.0,48.0,0.54
10,90.0,44.5,0.57
