Query Number,Hit Percentage,Total Time,Bootstrap Time
1,80.0,349.31,9.02
2,90.0,366.41,9.38
3,90.0,375.68,9.23
4,90.0,411.58,10.99
5,100.0,392.13,11.18
6,100.0,396.34,10.69
7,100.0,405.64,11.38
8,90.0,405.99,10.43
9,100.0,467.93,11.11
10,100.0,480.7,10.93
