Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,46.08,1.48
2,90.0,46.66,1.5
3,100.0,40.41,1.27
4,90.0,36.53,1.16
5,90.0,39.69,1.25
6,80.0,44.63,1.46
7,100.0,45.74,1.36
8,100.0,45.23,1.31
9,80.0,42.9,1.23
10,90.0,41.42,1.19
