Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,58.13,15.13
2,100.0,54.77,13.14
3,100.0,56.04,13.17
4,100.0,65.77,15.31
5,100.0,53.86,12.84
6,100.0,53.97,12.58
7,90.0,59.21,13.82
8,100.0,56.5,13.27
9,90.0,63.98,13.54
10,100.0,64.76,15.28
