Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,34.98,0.12
2,100.0,33.85,0.11
3,100.0,33.76,0.1
4,90.0,33.55,0.15
5,70.0,34.21,0.13
6,100.0,33.48,0.1
7,100.0,33.7,0.11
8,100.0,33.52,0.12
9,90.0,33.35,0.13
10,80.0,34.85,0.12
