Query Number,Hit Percentage,Total Time,Bootstrap Time
1,80.0,370.62,54.73
2,100.0,357.59,54.46
3,100.0,355.94,55.05
4,100.0,359.58,54.44
5,90.0,363.77,54.37
6,90.0,355.78,54.01
7,100.0,438.13,65.36
8,90.0,416.28,63.76
9,100.0,407.2,63.73
10,90.0,420.56,62.77
