Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,6313.72,429.01
2,90.0,6487.55,426.56
3,100.0,7311.19,426.33
4,100.0,7525.54,426.56
5,90.0,7369.36,425.66
6,100.0,7389.73,426.73
7,100.0,7396.33,426.72
8,90.0,7411.88,426.11
9,90.0,7685.75,427.37
10,100.0,7555.15,427.21
