Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,31.33,0.49
2,100.0,33.58,0.48
3,90.0,37.93,0.62
4,80.0,32.38,0.46
5,80.0,31.83,0.49
6,100.0,30.82,0.5
7,90.0,30.43,0.48
8,100.0,30.28,0.46
9,100.0,30.22,0.46
10,100.0,31.12,0.47
