Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,497.68,125.38
2,90.0,478.34,123.83
3,100.0,473.0,123.94
4,100.0,477.24,123.72
5,90.0,479.43,121.82
6,90.0,475.72,124.86
7,80.0,470.98,123.91
8,80.0,473.3,124.37
9,100.0,474.35,125.33
10,100.0,485.29,123.63
