Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,43.66,10.35
2,100.0,43.81,10.68
3,100.0,43.25,10.67
4,80.0,43.21,10.53
5,100.0,43.92,10.57
6,100.0,48.69,13.09
7,90.0,46.4,11.54
8,90.0,43.12,10.69
9,100.0,43.14,10.6
10,100.0,52.6,12.53
