Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,969.92,81.66
2,100.0,986.46,88.45
3,100.0,1041.22,90.13
4,100.0,1157.96,97.51
5,100.0,1046.78,92.12
6,90.0,1073.7,96.62
7,80.0,1073.58,96.54
8,90.0,1024.4,93.36
9,90.0,1162.9,93.03
10,100.0,1211.0,97.16
