Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,48.33,1.19
2,90.0,34.78,0.92
3,100.0,33.43,0.96
4,90.0,43.25,1.25
5,80.0,38.02,1.02
6,90.0,38.73,1.04
7,100.0,37.06,1.03
8,100.0,38.11,1.16
9,80.0,36.76,1.0
10,100.0,36.47,0.95
