Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,35.15,4.5
2,100.0,37.33,4.81
3,90.0,35.21,4.62
4,80.0,35.24,4.57
5,100.0,36.29,4.7
6,100.0,36.42,4.72
7,100.0,35.52,4.7
8,100.0,35.59,4.63
9,90.0,35.14,4.69
10,100.0,37.15,4.98
