Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,38.12,1.24
2,100.0,33.77,1.15
3,100.0,33.33,1.09
4,100.0,33.53,1.17
5,100.0,34.09,1.13
6,90.0,34.23,1.24
7,90.0,35.37,1.13
8,90.0,34.33,1.14
9,100.0,34.34,1.15
10,100.0,35.78,1.13
