Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,392.23,3.95
2,100.0,385.55,4.05
3,90.0,407.57,3.97
4,90.0,370.25,3.97
5,80.0,355.03,4.0
6,90.0,358.32,3.91
7,90.0,355.18,3.95
8,70.0,367.12,4.13
9,100.0,405.47,3.99
10,100.0,411.5,4.13
