Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,2522.05,104.0
2,90.0,2032.27,96.54
3,100.0,2425.08,94.05
4,90.0,1915.43,96.29
5,90.0,1773.86,100.89
6,100.0,1806.53,96.26
7,60.0,1685.6,99.69
8,100.0,1770.82,96.34
9,100.0,2413.36,95.56
10,100.0,2434.9,94.97
