Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,33.3,0.12
2,90.0,33.15,0.11
3,80.0,46.46,0.14
4,100.0,35.33,0.11
5,90.0,31.9,0.1
6,90.0,32.73,0.11
7,90.0,31.82,0.11
8,80.0,35.4,0.1
9,100.0,40.78,0.12
10,90.0,51.93,0.12
