Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,1621.05,6.59
2,90.0,1459.42,6.39
3,100.0,1813.16,6.45
4,70.0,1317.25,6.53
5,100.0,1174.49,6.63
6,100.0,1267.58,6.87
7,90.0,1161.92,6.97
8,100.0,1128.16,6.29
9,90.0,1830.71,6.68
10,100.0,1848.69,6.48
