Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,1849.45,44.86
2,80.0,1684.04,44.6
3,100.0,2053.55,43.65
4,90.0,1553.42,43.53
5,80.0,1428.07,45.43
6,100.0,1471.01,44.75
7,100.0,1334.53,44.77
8,100.0,1425.57,43.93
9,100.0,1967.82,43.27
10,90.0,2081.7,45.18
