Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,411.35,0.93
2,100.0,374.09,0.91
3,100.0,403.34,0.9
4,90.0,361.13,0.99
5,90.0,353.81,0.96
6,100.0,356.68,0.94
7,90.0,348.04,0.96
8,80.0,358.35,1.07
9,100.0,403.17,0.97
10,100.0,432.45,1.2
