Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,49.88,6.57
2,70.0,50.59,5.74
3,100.0,54.63,6.29
4,100.0,44.16,5.08
5,100.0,41.93,4.81
6,100.0,46.65,5.66
7,100.0,40.66,4.73
8,90.0,40.17,4.49
9,90.0,44.27,4.63
10,100.0,42.95,4.82
