Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,49.58,0.63
2,100.0,40.11,0.48
3,100.0,45.48,0.49
4,90.0,53.4,0.57
5,100.0,41.47,0.5
6,100.0,39.2,0.51
7,100.0,38.94,0.55
8,90.0,43.49,0.49
9,90.0,41.82,0.51
10,100.0,43.07,0.54
