Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,36.59,1.05
2,100.0,37.69,1.12
3,70.0,35.97,1.07
4,100.0,33.73,1.02
5,80.0,36.38,1.07
6,90.0,35.51,1.09
7,100.0,34.34,1.07
8,100.0,35.06,1.05
9,100.0,42.8,1.22
10,90.0,41.56,1.21
