Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,441.08,51.76
2,100.0,427.41,52.21
3,100.0,457.65,51.85
4,90.0,415.13,51.68
5,100.0,407.27,53.37
6,100.0,411.23,52.01
7,80.0,406.22,52.11
8,100.0,413.96,51.57
9,100.0,457.74,51.94
10,100.0,459.68,52.25
