Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,277000.0,11850.83,253772.37,300227.63,0.12,3.57,1
1,1,278356.0,308000.0,12126.33,284232.4,331767.6,0.15,3.83,0
2,1,278356.0,272000.0,12530.11,247440.99,296559.01,0.13,3.96,1
3,1,278356.0,279000.0,12284.94,254921.52,303078.48,0.12,3.7,1
4,1,278356.0,295000.0,12338.28,270816.98,319183.02,0.14,3.62,1
5,1,278356.0,295000.0,12380.48,270734.26,319265.74,0.12,3.72,1
6,1,278356.0,267000.0,12437.39,242622.71,291377.29,0.12,3.63,1
7,1,278356.0,272000.0,12259.75,247970.9,296029.1,0.12,3.73,1
8,1,278356.0,285000.0,12746.32,260017.21,309982.79,0.12,3.67,1
9,1,278356.0,281000.0,12198.09,257091.74,304908.26,0.13,3.58,1
0,2,192924.0,213000.0,11661.49,190143.48,235856.52,0.13,3.59,1
1,2,192924.0,193000.0,11500.85,170458.34,215541.66,0.12,4.04,1
2,2,192924.0,201000.0,11800.75,177870.54,224129.46,0.14,3.8,1
3,2,192924.0,198000.0,11514.2,175432.17,220567.83,0.13,3.8,1
4,2,192924.0,193000.0,11685.37,170096.67,215903.33,0.14,3.83,1
5,2,192924.0,201000.0,11512.18,178436.12,223563.88,0.12,4.48,1
6,2,192924.0,196000.0,11755.63,172958.97,219041.03,0.12,4.19,1
7,2,192924.0,191000.0,11469.64,168519.51,213480.49,0.13,4.04,1
8,2,192924.0,194000.0,11697.17,171073.55,216926.45,0.12,3.6,1
9,2,192924.0,207000.0,11817.84,183837.03,230162.97,0.13,3.56,1
0,3,218426.0,216000.0,12058.54,192365.27,239634.73,0.13,3.83,1
1,3,218426.0,207000.0,11635.74,184193.94,229806.06,0.18,4.41,1
2,3,218426.0,216000.0,11788.18,192895.17,239104.83,0.14,3.99,1
3,3,218426.0,229000.0,12114.61,205255.37,252744.63,0.29,4.98,1
4,3,218426.0,210000.0,11936.69,186604.1,233395.9,0.13,5.56,1
5,3,218426.0,226000.0,12025.74,202429.54,249570.46,0.13,4.05,1
6,3,218426.0,236000.0,11730.3,213008.62,258991.38,0.14,3.74,1
7,3,218426.0,215000.0,11460.22,192537.96,237462.04,0.15,4.68,1
8,3,218426.0,221000.0,11952.9,197572.32,244427.68,0.12,4.22,1
9,3,218426.0,249000.0,11925.28,225626.45,272373.55,0.12,3.76,0
0,4,429156.0,429000.0,10821.21,407790.42,450209.58,0.13,4.08,1
1,4,429156.0,438000.0,10920.22,416596.37,459403.63,0.12,3.74,1
2,4,429156.0,437000.0,10829.68,415773.83,458226.17,0.13,3.73,1
3,4,429156.0,432000.0,10691.18,411045.29,452954.71,0.13,3.77,1
4,4,429156.0,437000.0,11416.87,414622.93,459377.07,0.13,4.45,1
5,4,429156.0,427000.0,10995.0,405449.8,448550.2,0.14,4.35,1
6,4,429156.0,441000.0,11016.67,419407.33,462592.67,0.13,4.06,1
7,4,429156.0,425000.0,10748.94,403932.08,446067.92,0.13,4.06,1
8,4,429156.0,445000.0,10860.53,423713.35,466286.65,0.12,3.87,1
9,4,429156.0,419000.0,11332.14,396789.01,441210.99,0.12,4.22,1
0,5,163131.0,157000.0,10837.52,135758.46,178241.54,0.13,3.99,1
1,5,163131.0,140000.0,10403.37,119609.4,160390.6,0.16,4.03,0
2,5,163131.0,157000.0,10914.75,135607.08,178392.92,0.13,4.28,1
3,5,163131.0,163000.0,10733.36,141962.61,184037.39,0.12,3.58,1
4,5,163131.0,176000.0,11422.37,153612.15,198387.85,0.14,3.64,1
5,5,163131.0,163000.0,10814.04,141804.49,184195.51,0.13,4.31,1
6,5,163131.0,158000.0,10712.44,137003.62,178996.38,0.13,4.34,1
7,5,163131.0,165000.0,11090.06,143263.48,186736.52,0.14,4.04,1
8,5,163131.0,147000.0,10476.57,126465.93,167534.07,0.13,3.86,1
9,5,163131.0,174000.0,11094.52,152254.74,195745.26,0.12,3.74,1
0,6,107671.0,112000.0,9705.34,92977.53,131022.47,0.13,3.59,1
1,6,107671.0,112000.0,9756.38,92877.49,131122.51,0.13,3.78,1
2,6,107671.0,108000.0,9162.58,90041.35,125958.65,0.12,3.57,1
3,6,107671.0,92000.0,8640.96,75063.72,108936.28,0.22,3.79,1
4,6,107671.0,128000.0,10189.05,108029.46,147970.54,0.12,3.67,0
5,6,107671.0,111000.0,9530.85,92319.53,129680.47,0.12,3.73,1
6,6,107671.0,99000.0,9261.18,80848.09,117151.91,0.13,3.61,1
7,6,107671.0,107000.0,9293.71,88784.34,125215.66,0.13,3.8,1
8,6,107671.0,112000.0,9417.66,93541.38,130458.62,0.12,3.63,1
9,6,107671.0,131000.0,9947.9,111502.12,150497.88,0.12,3.55,0
0,7,109024.0,114000.0,9492.65,95394.4,132605.6,0.13,3.62,1
1,7,109024.0,103000.0,9146.33,85073.19,120926.81,0.12,4.0,1
2,7,109024.0,110000.0,9358.4,91657.53,128342.47,0.16,3.69,1
3,7,109024.0,102000.0,9019.83,84321.14,119678.86,0.12,4.02,1
4,7,109024.0,100000.0,9113.34,82137.86,117862.14,0.12,3.79,1
5,7,109024.0,122000.0,9683.08,103021.17,140978.83,0.13,3.61,1
6,7,109024.0,113000.0,9536.31,94308.84,131691.16,0.12,3.75,1
7,7,109024.0,95000.0,8861.21,77632.03,112367.97,0.12,3.69,1
8,7,109024.0,104000.0,9111.08,86142.28,121857.72,0.12,3.65,1
9,7,109024.0,106000.0,9549.33,87283.31,124716.69,0.12,3.77,1
0,8,126798.0,116000.0,9773.31,96844.31,135155.69,0.13,3.97,1
1,8,126798.0,135000.0,10015.9,115368.84,154631.16,0.14,4.85,1
