Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,288400.0,5818.55,276995.65,299804.35,0.06,3.92,1
1,1,278356.0,279800.0,5350.48,269313.05,290286.95,0.05,3.73,1
2,1,278356.0,278400.0,5594.74,267434.31,289365.69,0.06,3.59,1
3,1,278356.0,276000.0,5663.95,264898.65,287101.35,0.06,3.71,1
4,1,278356.0,277200.0,5714.17,266000.22,288399.78,0.07,3.96,1
5,1,278356.0,275600.0,5402.89,265010.34,286189.66,0.05,3.83,1
6,1,278356.0,280600.0,5678.07,269470.98,291729.02,0.05,3.82,1
7,1,278356.0,283600.0,5467.16,272884.36,294315.64,0.05,3.58,1
8,1,278356.0,281600.0,5440.45,270936.71,292263.29,0.06,3.85,1
9,1,278356.0,280000.0,5689.53,268848.53,291151.47,0.06,3.6,1
0,2,192924.0,191600.0,5372.15,181070.59,202129.41,0.05,3.97,1
1,2,192924.0,195800.0,5247.74,185514.44,206085.56,0.05,3.81,1
2,2,192924.0,195400.0,4817.47,185957.77,204842.23,0.05,3.64,1
3,2,192924.0,191400.0,5355.31,180903.59,201896.41,0.05,3.56,1
4,2,192924.0,192400.0,5230.85,182147.54,202652.46,0.06,3.75,1
5,2,192924.0,198000.0,5271.12,187668.6,208331.4,0.06,3.61,1
6,2,192924.0,193000.0,4770.85,183649.14,202350.86,0.05,3.59,1
7,2,192924.0,192200.0,4768.34,182854.05,201545.95,0.05,3.77,1
8,2,192924.0,193800.0,4863.31,184267.91,203332.09,0.05,3.67,1
9,2,192924.0,184200.0,5292.15,173827.4,194572.6,0.05,3.58,1
0,3,218426.0,215400.0,5408.55,204799.24,226000.76,0.06,4.27,1
1,3,218426.0,219800.0,5666.23,208694.2,230905.8,0.06,3.65,1
2,3,218426.0,216800.0,5133.18,206738.96,226861.04,0.05,3.68,1
3,3,218426.0,211400.0,5584.01,200455.34,222344.66,0.05,4.05,1
4,3,218426.0,226800.0,4998.95,217002.06,236597.94,0.05,3.65,1
5,3,218426.0,231200.0,5297.44,220817.02,241582.98,0.06,3.64,0
6,3,218426.0,213400.0,5546.09,202529.67,224270.33,0.05,3.73,1
7,3,218426.0,209000.0,5752.75,197724.62,220275.38,0.05,4.01,1
8,3,218426.0,220000.0,5325.5,209562.03,230437.97,0.05,3.88,1
9,3,218426.0,216000.0,5330.71,205551.81,226448.19,0.05,3.78,1
0,4,429156.0,426000.0,4669.79,416847.22,435152.78,0.05,3.91,1
1,4,429156.0,424400.0,5415.8,413785.04,435014.96,0.06,4.19,1
2,4,429156.0,433800.0,4756.55,424477.16,443122.84,0.05,3.79,1
3,4,429156.0,424400.0,4806.42,414979.42,433820.58,0.05,3.71,1
4,4,429156.0,429200.0,4705.53,419977.17,438422.83,0.06,3.71,1
5,4,429156.0,425200.0,4810.03,415772.34,434627.66,0.06,3.68,1
6,4,429156.0,440200.0,4462.52,431453.47,448946.53,0.05,3.82,0
7,4,429156.0,422200.0,4891.56,412612.55,431787.45,0.05,3.84,1
8,4,429156.0,435200.0,4848.97,425696.01,444703.99,0.05,3.93,1
9,4,429156.0,430800.0,4631.08,421723.09,439876.91,0.05,3.68,1
0,5,163131.0,169000.0,5031.01,159139.23,178860.77,0.05,3.98,1
1,5,163131.0,163800.0,4802.18,154387.73,173212.27,0.06,3.84,1
