Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,345.54,0.91
2,100.0,336.95,0.9
3,100.0,359.32,0.9
4,90.0,328.9,0.87
5,100.0,318.87,0.9
6,100.0,320.91,0.89
7,100.0,328.36,0.88
8,80.0,334.77,0.89
9,100.0,370.05,0.89
10,90.0,373.15,0.87
