Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,34.89,1.1
2,90.0,35.88,1.09
3,100.0,37.65,1.1
4,80.0,35.0,1.11
5,100.0,35.07,1.08
6,100.0,34.67,1.09
7,100.0,35.27,1.09
8,100.0,35.2,1.1
9,90.0,40.25,1.2
10,100.0,48.25,1.32
