Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,34.88,0.1
2,100.0,34.58,0.1
3,90.0,36.14,0.11
4,100.0,33.96,0.11
5,90.0,33.56,0.1
6,100.0,33.34,0.1
7,90.0,34.05,0.11
8,100.0,34.28,0.1
9,90.0,36.35,0.1
10,100.0,36.49,0.1
