Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,40.34,4.6
2,100.0,41.87,4.97
3,100.0,43.2,4.71
4,70.0,41.13,5.07
5,100.0,45.21,5.25
6,90.0,40.67,4.94
7,90.0,40.52,4.84
8,100.0,41.69,4.95
9,90.0,43.46,4.82
10,100.0,43.57,4.87
