Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,55.79,12.56
2,100.0,58.72,13.13
3,100.0,66.26,14.96
4,100.0,59.32,13.09
5,100.0,53.33,12.87
6,80.0,53.7,12.51
7,100.0,50.9,11.64
8,90.0,57.45,12.83
9,100.0,52.28,11.5
10,90.0,51.64,10.71
