Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,368.7,3.84
2,100.0,360.71,3.9
3,100.0,383.41,3.9
4,100.0,368.37,4.26
5,100.0,362.21,4.99
6,100.0,353.31,4.96
7,100.0,350.92,4.97
8,90.0,360.61,5.15
9,100.0,442.27,5.37
10,100.0,450.9,5.44
