Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,35.1,0.46
2,100.0,36.8,0.5
3,80.0,38.23,0.43
4,90.0,36.06,0.47
5,100.0,34.79,0.47
6,100.0,35.71,0.46
7,100.0,35.69,0.48
8,90.0,35.85,0.46
9,100.0,38.71,0.47
10,100.0,38.03,0.44
