Query Number,Hit Percentage,Total Time,Bootstrap Time
1,90.0,45.0,1.12
2,100.0,44.41,1.0
3,100.0,66.17,1.28
4,100.0,49.24,1.26
5,100.0,43.53,1.06
6,100.0,42.96,0.98
7,80.0,43.57,0.97
8,100.0,44.51,1.19
9,100.0,55.25,1.19
10,100.0,46.63,0.98
