Query Number,Hit Percentage,Total Time,Bootstrap Time
1,80.0,471.71,52.53
2,100.0,521.64,65.15
3,90.0,454.83,56.28
4,100.0,472.35,61.53
5,100.0,431.78,60.45
6,90.0,410.35,56.49
7,100.0,405.85,57.06
8,100.0,413.12,55.99
9,100.0,503.44,63.77
10,100.0,503.61,64.57
