Query Number,Hit Percentage,Total Time,Bootstrap Time
1,100.0,514.65,113.41
2,90.0,480.8,107.95
3,100.0,506.79,107.56
4,100.0,471.8,107.17
5,80.0,462.15,107.79
6,100.0,466.49,108.01
7,100.0,464.27,107.52
8,80.0,521.37,118.6
9,100.0,508.75,108.47
10,90.0,489.82,107.34
