Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,198159.0,192400.0,5222.82,182163.27,202636.73,0.05,3.1,1
1,1,198159.0,190800.0,5459.32,180099.73,201500.27,0.05,3.01,1
2,1,198159.0,193200.0,4955.82,183486.59,202913.41,0.05,3.13,1
3,1,198159.0,194800.0,4993.04,185013.65,204586.35,0.05,3.05,1
4,1,198159.0,177400.0,4864.52,167865.54,186934.46,0.05,3.01,0
5,1,198159.0,196800.0,5387.26,186240.97,207359.03,0.06,3.03,1
6,1,198159.0,198200.0,5163.86,188078.84,208321.16,0.04,3.04,1
7,1,198159.0,198000.0,5251.19,187707.67,208292.33,0.05,3.41,1
8,1,198159.0,191600.0,5219.75,181369.29,201830.71,0.04,3.37,1
9,1,198159.0,198200.0,5319.69,187773.41,208626.59,0.05,3.18,1
0,2,278356.0,286600.0,5564.06,275694.43,297505.57,0.04,3.42,1
1,2,278356.0,288800.0,5356.71,278300.84,299299.16,0.05,3.1,1
2,2,278356.0,268400.0,5268.75,258073.26,278726.74,0.05,3.18,1
3,2,278356.0,276400.0,5340.19,265933.23,286866.77,0.05,3.09,1
4,2,278356.0,285400.0,5401.33,274813.39,295986.61,0.04,3.33,1
5,2,278356.0,279200.0,5255.04,268900.12,289499.88,0.05,3.32,1
6,2,278356.0,281000.0,5174.16,270858.65,291141.35,0.05,3.32,1
7,2,278356.0,277600.0,5540.11,266741.39,288458.61,0.04,3.46,1
8,2,278356.0,274400.0,5303.39,264005.36,284794.64,0.05,3.55,1
9,2,278356.0,283800.0,5479.32,273060.52,294539.48,0.06,3.81,1
0,3,192924.0,199000.0,5075.79,189051.46,208948.54,0.05,3.68,1
1,3,192924.0,208400.0,5126.38,198352.3,218447.7,0.07,4.47,0
2,3,192924.0,188400.0,5045.01,178511.78,198288.22,0.05,3.89,1
3,3,192924.0,189200.0,5273.36,178864.21,199535.79,0.09,4.33,1
4,3,192924.0,192600.0,5384.15,182047.07,203152.93,0.06,4.95,1
5,3,192924.0,199000.0,4780.44,189630.34,208369.66,0.05,3.75,1
6,3,192924.0,192600.0,5265.06,182280.48,202919.52,0.05,3.19,1
7,3,192924.0,192000.0,5456.04,181306.16,202693.84,0.1,3.4,1
8,3,192924.0,191200.0,4908.97,181578.42,200821.58,0.05,3.21,1
9,3,192924.0,199000.0,5048.3,189105.32,208894.68,0.05,3.06,1
0,4,218426.0,216400.0,5125.3,206354.41,226445.59,0.05,3.31,1
1,4,218426.0,233400.0,5505.6,222609.02,244190.98,0.05,3.47,0
2,4,218426.0,224200.0,5188.34,214030.85,234369.15,0.05,3.2,1
3,4,218426.0,222200.0,5662.8,211100.9,233299.1,0.05,3.06,1
4,4,218426.0,218200.0,5629.28,207166.61,229233.39,0.04,3.35,1
