Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,198159.0,193600.0,3566.43,186609.79,200590.21,0.89,4.06,1
1,1,198159.0,192900.0,3647.14,185751.61,200048.39,0.9,3.94,1
2,1,198159.0,197800.0,3611.18,190722.08,204877.92,1.16,4.57,1
3,1,198159.0,194900.0,3564.91,187912.77,201887.23,1.07,4.42,1
4,1,198159.0,198500.0,3701.38,191245.29,205754.71,1.06,4.37,1
5,1,198159.0,197400.0,3645.61,190254.6,204545.4,1.08,4.44,1
6,1,198159.0,200700.0,3519.62,193801.54,207598.46,1.04,4.43,1
7,1,198159.0,200100.0,3572.18,193098.53,207101.47,1.07,4.6,1
8,1,198159.0,195700.0,3691.56,188464.55,202935.45,1.04,4.43,1
9,1,198159.0,199600.0,3579.46,192584.26,206615.74,1.04,4.4,1
0,2,278356.0,280000.0,3825.54,272501.95,287498.05,1.07,4.47,1
1,2,278356.0,280400.0,3899.58,272756.83,288043.17,1.06,4.26,1
2,2,278356.0,281700.0,3844.76,274164.27,289235.73,1.13,4.42,1
3,2,278356.0,283000.0,3850.96,275452.12,290547.88,1.07,4.33,1
4,2,278356.0,276200.0,3812.23,268728.03,283671.97,1.06,4.26,1
5,2,278356.0,272300.0,3840.3,264773.0,279827.0,1.07,4.43,1
6,2,278356.0,277000.0,3886.12,269383.21,284616.79,1.06,4.28,1
7,2,278356.0,276300.0,3820.43,268811.96,283788.04,1.06,4.54,1
8,2,278356.0,278600.0,3953.62,270850.9,286349.1,1.05,4.3,1
9,2,278356.0,279100.0,3899.02,271457.91,286742.09,1.05,4.52,1
0,3,192924.0,191300.0,3636.61,184172.24,198427.76,1.1,4.39,1
1,3,192924.0,193800.0,3671.73,186603.42,200996.58,1.08,4.33,1
2,3,192924.0,198200.0,3710.62,190927.19,205472.81,1.08,4.47,1
3,3,192924.0,194400.0,3584.15,187375.07,201424.93,1.07,4.26,1
4,3,192924.0,189500.0,3627.45,182390.19,196609.81,1.07,4.23,1
5,3,192924.0,198800.0,3663.67,191619.21,205980.79,1.06,4.22,1
6,3,192924.0,195300.0,3625.85,188193.33,202406.67,1.03,4.24,1
7,3,192924.0,192400.0,3539.33,185462.91,199337.09,1.08,4.56,1
8,3,192924.0,195300.0,3610.85,188222.73,202377.27,1.04,4.25,1
