Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,1788695.0,1805200.0,16124.82,1773595.35,1836804.65,5.44,36.11,1
1,1,1788695.0,1804800.0,15713.28,1774001.96,1835598.04,5.36,39.0,1
2,1,1788695.0,1781200.0,15898.16,1750039.61,1812360.39,5.7,37.59,1
3,1,1788695.0,1788400.0,15678.57,1757670.0,1819130.0,5.44,37.08,1
4,1,1788695.0,1793600.0,15229.7,1763749.79,1823450.21,5.38,36.52,1
5,1,1788695.0,1755000.0,15916.87,1723802.93,1786197.07,5.4,36.8,0
6,1,1788695.0,1812600.0,15993.79,1781252.17,1843947.83,5.46,37.01,1
7,1,1788695.0,1779800.0,16154.81,1748136.58,1811463.42,5.62,37.26,1
8,1,1788695.0,1826000.0,15705.97,1795216.3,1856783.7,5.6,36.79,0
9,1,1788695.0,1802000.0,15680.55,1771266.11,1832733.89,5.33,36.46,1
0,2,2785246.0,2756200.0,17101.67,2722680.74,2789719.26,5.33,36.08,1
1,2,2785246.0,2783200.0,17406.94,2749082.39,2817317.61,5.5,35.56,1
2,2,2785246.0,2771800.0,17504.41,2737491.35,2806108.65,5.39,35.58,1
3,2,2785246.0,2778200.0,17476.32,2743946.41,2812453.59,5.45,35.58,1
4,2,2785246.0,2807200.0,17250.65,2773388.73,2841011.27,5.35,35.25,1
5,2,2785246.0,2753000.0,17118.69,2719447.37,2786552.63,5.84,36.19,1
6,2,2785246.0,2774000.0,17143.55,2740398.65,2807601.35,5.43,35.58,1
7,2,2785246.0,2787600.0,17255.84,2753778.56,2821421.44,5.37,35.46,1
8,2,2785246.0,2793200.0,18149.54,2757626.91,2828773.09,5.37,36.72,1
9,2,2785246.0,2805400.0,17404.78,2771286.64,2839513.36,5.43,35.59,1
0,3,1928020.0,1959600.0,16292.45,1927666.8,1991533.2,5.45,35.83,1
1,3,1928020.0,1924800.0,16338.12,1892777.28,1956822.72,5.47,35.41,1
2,3,1928020.0,1924400.0,15967.17,1893104.35,1955695.65,5.72,35.86,1
3,3,1928020.0,1933400.0,15788.49,1902454.56,1964345.44,5.52,35.5,1
4,3,1928020.0,1918400.0,15958.99,1887120.37,1949679.63,5.53,35.44,1
5,3,1928020.0,1936000.0,16582.56,1903498.19,1968501.81,5.4,35.35,1
6,3,1928020.0,1937400.0,16206.45,1905635.36,1969164.64,5.41,35.2,1
7,3,1928020.0,1927000.0,16571.29,1894520.26,1959479.74,5.41,35.09,1
8,3,1928020.0,1934000.0,16262.55,1902125.41,1965874.59,5.49,35.71,1
9,3,1928020.0,1945800.0,16203.45,1914041.23,1977558.77,5.65,36.55,1
0,4,2180873.0,2184000.0,17219.7,2150249.39,2217750.61,5.69,35.92,1
1,4,2180873.0,2164200.0,16450.39,2131957.24,2196442.76,5.5,35.42,1
