Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,27856078.0,27987000.0,117246.35,27757197.16,28216802.84,0.64,67.21,1
1,1,27856078.0,28011000.0,126127.57,27763789.96,28258210.04,0.6,62.51,1
2,1,27856078.0,27856000.0,126257.97,27608534.39,28103465.61,0.63,62.18,1
3,1,27856078.0,27708000.0,122835.91,27467241.62,27948758.38,0.64,62.07,1
4,1,27856078.0,27857000.0,127454.1,27607189.96,28106810.04,0.62,62.82,1
5,1,27856078.0,27853000.0,131378.92,27595497.31,28110502.69,0.63,63.48,1
6,1,27856078.0,27942000.0,125782.01,27695467.26,28188532.74,0.67,70.65,1
7,1,27856078.0,28048000.0,124628.32,27803728.5,28292271.5,0.69,64.86,1
8,1,27856078.0,27902000.0,129057.25,27649047.79,28154952.21,0.67,62.37,1
9,1,27856078.0,27804000.0,126923.58,27555229.79,28052770.21,0.68,62.68,1
0,2,19280625.0,19410000.0,107390.14,19199515.32,19620484.68,0.62,59.24,1
1,2,19280625.0,19271000.0,108533.85,19058273.66,19483726.34,0.62,58.95,1
2,2,19280625.0,19346000.0,126428.02,19098201.09,19593798.91,0.6,59.42,1
3,2,19280625.0,19214000.0,116706.12,18985256.0,19442744.0,0.58,59.57,1
4,2,19280625.0,19449000.0,126646.81,19200772.24,19697227.76,0.59,60.15,1
5,2,19280625.0,19301000.0,118720.39,19068308.04,19533691.96,0.68,62.04,1
6,2,19280625.0,19301000.0,111408.27,19082639.8,19519360.2,0.6,59.53,1
7,2,19280625.0,19236000.0,114882.89,19010829.54,19461170.46,0.62,60.81,1
8,2,19280625.0,19170000.0,107586.93,18959129.61,19380870.39,0.63,60.78,1
9,2,19280625.0,19021000.0,121933.44,18782010.45,19259989.55,0.62,62.27,0
0,3,21809885.0,21808000.0,123650.12,21565645.77,22050354.23,0.61,63.87,1
1,3,21809885.0,21713000.0,116535.47,21484590.47,21941409.53,0.61,63.65,1
2,3,21809885.0,21634000.0,115474.45,21407670.07,21860329.93,0.58,63.95,1
3,3,21809885.0,21766000.0,130998.14,21509243.64,22022756.36,0.63,64.39,1
4,3,21809885.0,21709000.0,121438.38,21470980.77,21947019.23,0.67,65.41,1
5,3,21809885.0,21844000.0,114478.38,21619622.38,22068377.62,0.58,63.94,1
