Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,283000.0,12754.8,258000.59,307999.41,0.02,3.43,1
1,1,278356.0,309000.0,12000.28,285479.45,332520.55,0.01,4.24,0
2,1,278356.0,304000.0,12798.87,278914.22,329085.78,0.02,3.83,0
3,1,278356.0,281000.0,11449.75,258558.49,303441.51,0.02,4.45,1
4,1,278356.0,268000.0,11381.64,245691.98,290308.02,0.01,4.29,1
5,1,278356.0,273000.0,11749.79,249970.42,296029.58,0.01,3.87,1
6,1,278356.0,273000.0,11905.78,249664.68,296335.32,0.02,3.97,1
7,1,278356.0,269000.0,11522.28,246416.33,291583.67,0.02,4.9,1
8,1,278356.0,281000.0,12996.6,255526.66,306473.34,0.02,3.87,1
9,1,278356.0,269000.0,12404.41,244687.36,293312.64,0.01,4.47,1
0,2,218426.0,203000.0,11121.59,181201.68,224798.32,0.01,3.99,1
1,2,218426.0,229000.0,11210.4,207027.62,250972.38,0.01,3.66,1
2,2,218426.0,218000.0,11817.75,194837.22,241162.78,0.01,3.56,1
3,2,218426.0,201000.0,12104.86,177274.48,224725.52,0.01,3.65,1
4,2,218426.0,219000.0,11358.01,196738.3,241261.7,0.01,3.53,1
5,2,218426.0,212000.0,11883.31,188708.72,235291.28,0.01,4.02,1
6,2,218426.0,218000.0,11959.78,194558.83,241441.17,0.02,4.1,1
7,2,218426.0,244000.0,11555.59,221351.03,266648.97,0.01,4.48,0
8,2,218426.0,218000.0,10607.43,197209.44,238790.56,0.01,3.63,1
9,2,218426.0,207000.0,11188.46,185070.62,228929.38,0.02,3.66,1
0,3,429156.0,440000.0,10717.09,418994.51,461005.49,0.01,3.88,1
1,3,429156.0,448000.0,11342.29,425769.12,470230.88,0.01,4.35,1
2,3,429156.0,417000.0,10534.89,396351.62,437648.38,0.01,4.42,1
3,3,429156.0,434000.0,11298.3,411855.33,456144.67,0.02,4.08,1
4,3,429156.0,439000.0,11520.37,416420.07,461579.93,0.01,4.04,1
5,3,429156.0,416000.0,11022.9,394395.11,437604.89,0.02,4.08,1
6,3,429156.0,431000.0,10745.28,409939.26,452060.74,0.01,3.92,1
7,3,429156.0,408000.0,11622.28,385220.32,430779.68,0.01,3.74,1
8,3,429156.0,422000.0,10919.83,400597.13,443402.87,0.01,4.87,1
9,3,429156.0,437000.0,10696.99,416033.9,457966.1,0.01,4.43,1
0,4,163131.0,168000.0,9460.85,149456.74,186543.26,0.02,4.43,1
1,4,163131.0,150000.0,9774.25,130842.48,169157.52,0.01,4.3,1
2,4,163131.0,161000.0,11538.92,138383.71,183616.29,0.01,3.78,1
3,4,163131.0,170000.0,12176.12,146134.8,193865.2,0.01,3.85,1
4,4,163131.0,192000.0,10061.16,172280.12,211719.88,0.01,3.54,0
5,4,163131.0,172000.0,11476.22,149506.61,194493.39,0.02,3.61,1
6,4,163131.0,160000.0,10440.77,139536.08,180463.92,0.01,3.93,1
7,4,163131.0,156000.0,10379.68,135655.83,176344.17,0.01,4.44,1
8,4,163131.0,171000.0,11263.3,148923.93,193076.07,0.02,3.59,1
9,4,163131.0,158000.0,10752.84,136924.43,179075.57,0.01,4.0,1
0,5,107671.0,105000.0,9260.67,86849.09,123150.91,0.01,3.69,1
1,5,107671.0,94000.0,8432.64,77472.03,110527.97,0.01,3.97,1
2,5,107671.0,100000.0,9568.17,81246.38,118753.62,0.02,4.33,1
3,5,107671.0,102000.0,8833.97,84685.41,119314.59,0.01,3.59,1
4,5,107671.0,108000.0,9530.5,89320.22,126679.78,0.02,3.96,1
5,5,107671.0,108000.0,8671.91,91003.06,124996.94,0.01,3.76,1
6,5,107671.0,116000.0,9587.78,97207.94,134792.06,0.02,3.55,1
7,5,107671.0,110000.0,9878.85,90637.44,129362.56,0.01,3.49,1
8,5,107671.0,111000.0,8429.35,94478.47,127521.53,0.01,3.51,1
9,5,107671.0,106000.0,9508.86,87362.64,124637.36,0.01,3.51,1
0,6,126798.0,137000.0,10411.5,116593.46,157406.54,0.02,3.63,1
1,6,126798.0,112000.0,9382.2,93610.9,130389.1,0.01,3.79,1
2,6,126798.0,126000.0,10003.32,106393.49,145606.51,0.01,3.63,1
3,6,126798.0,120000.0,9667.24,101052.2,138947.8,0.01,3.62,1
4,6,126798.0,114000.0,9212.19,95944.12,132055.88,0.01,4.09,1
5,6,126798.0,121000.0,10163.94,101078.67,140921.33,0.01,3.74,1
6,6,126798.0,114000.0,9230.95,95907.34,132092.66,0.01,3.72,1
7,6,126798.0,137000.0,10124.15,117156.67,156843.33,0.02,3.89,1
8,6,126798.0,106000.0,9157.48,88051.35,123948.65,0.01,3.85,0
9,6,126798.0,119000.0,10231.29,98946.66,139053.34,0.01,3.99,1
0,7,104695.0,120000.0,9454.63,101468.93,138531.07,0.01,4.12,1
1,7,104695.0,91000.0,9156.19,73053.87,108946.13,0.01,3.69,1
2,7,104695.0,109000.0,10152.52,89101.07,128898.93,0.02,4.56,1
3,7,104695.0,102000.0,8969.83,84419.14,119580.86,0.01,3.69,1
4,7,104695.0,108000.0,9332.9,89707.52,126292.48,0.01,3.81,1
5,7,104695.0,102000.0,9273.07,83824.78,120175.22,0.01,3.51,1
6,7,104695.0,106000.0,9521.52,87337.82,124662.18,0.01,3.5,1
7,7,104695.0,85000.0,8311.54,68709.37,101290.63,0.01,3.5,0
8,7,104695.0,107000.0,9716.46,87955.74,126044.26,0.02,5.13,1
9,7,104695.0,104000.0,9019.41,86321.95,121678.05,0.03,6.53,1
0,8,198159.0,196000.0,11199.99,174048.02,217951.98,0.03,4.52,1
1,8,198159.0,190000.0,11579.57,167304.05,212695.95,0.02,5.02,1
2,8,198159.0,186000.0,11229.87,163989.46,208010.54,0.01,4.53,1
3,8,198159.0,215000.0,13052.16,189417.77,240582.23,0.01,3.8,1
4,8,198159.0,209000.0,11818.96,185834.84,232165.16,0.01,4.04,1
5,8,198159.0,211000.0,11607.58,188249.14,233750.86,0.02,4.8,1
6,8,198159.0,189000.0,10969.86,167499.08,210500.92,0.02,4.27,1
7,8,198159.0,207000.0,11314.45,184823.68,229176.32,0.01,3.69,1
8,8,198159.0,197000.0,11573.05,174316.81,219683.19,0.01,3.62,1
9,8,198159.0,212000.0,12457.33,187583.63,236416.37,0.02,4.19,1
0,9,165477.0,173000.0,10289.61,152832.37,193167.63,0.01,4.88,1
1,9,165477.0,158000.0,10667.89,137090.95,178909.05,0.02,4.0,1
2,9,165477.0,170000.0,11933.04,146611.24,193388.76,0.02,7.07,1
3,9,165477.0,161000.0,10335.94,140741.56,181258.44,0.01,5.47,1
4,9,165477.0,170000.0,10683.91,149059.53,190940.47,0.02,5.15,1
5,9,165477.0,160000.0,10957.64,138523.02,181476.98,0.01,5.98,1
6,9,165477.0,148000.0,10064.47,128273.63,167726.37,0.04,5.71,1
7,9,165477.0,165000.0,11668.31,142130.12,187869.88,0.01,4.41,1
8,9,165477.0,164000.0,11953.27,140571.58,187428.42,0.01,3.83,1
9,9,165477.0,159000.0,9701.51,139985.03,178014.97,0.01,3.99,1
0,10,268102.0,536000.0,7194.0,521899.77,550100.23,0.02,4.16,0
1,10,268102.0,543000.0,7293.2,528705.33,557294.67,0.01,3.89,0
2,10,268102.0,543000.0,7899.3,527517.37,558482.63,0.01,3.87,0
3,10,268102.0,546000.0,6705.44,532857.33,559142.67,0.01,3.9,0
4,10,268102.0,543000.0,7014.83,529250.92,556749.08,0.01,3.88,0
5,10,268102.0,539000.0,7422.22,524452.45,553547.55,0.01,5.26,0
6,10,268102.0,555000.0,6542.69,542176.33,567823.67,0.01,3.83,0
7,10,268102.0,537000.0,6978.54,523322.06,550677.94,0.01,3.86,0
8,10,268102.0,531000.0,7335.64,516622.15,545377.85,0.03,4.27,0
9,10,268102.0,537000.0,7060.06,523162.29,550837.71,0.01,4.03,0
