Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,2785246.0,2728000.0,38538.06,2652465.4,2803534.6,1.38,45.83,1
1,1,2785246.0,2792000.0,38172.1,2717182.68,2866817.32,1.4,43.18,1
2,1,2785246.0,2696000.0,37912.0,2621692.48,2770307.52,1.34,43.56,0
3,1,2785246.0,2835000.0,38921.47,2758713.93,2911286.07,1.36,43.82,1
4,1,2785246.0,2830000.0,37345.06,2756803.68,2903196.32,1.05,38.92,1
5,1,2785246.0,2710000.0,39050.7,2633460.63,2786539.37,1.13,38.3,1
6,1,2785246.0,2746000.0,39099.77,2669364.46,2822635.54,1.02,38.03,1
7,1,2785246.0,2770000.0,39722.97,2692142.99,2847857.01,1.0,37.55,1
8,1,2785246.0,2800000.0,37522.05,2726456.79,2873543.21,1.06,37.32,1
9,1,2785246.0,2710000.0,38371.25,2634792.35,2785207.65,1.04,37.6,0
0,2,2180873.0,2169000.0,37356.13,2095781.99,2242218.01,1.01,37.08,1
1,2,2180873.0,2220000.0,37404.58,2146687.01,2293312.99,0.99,37.98,1
2,2,2180873.0,2209000.0,37185.44,2136116.54,2281883.46,1.02,36.65,1
3,2,2180873.0,2203000.0,37616.99,2129270.7,2276729.3,1.02,36.94,1
4,2,2180873.0,2186000.0,37086.55,2113310.37,2258689.63,0.97,36.23,1
5,2,2180873.0,2208000.0,36982.7,2135513.91,2280486.09,1.01,36.79,1
6,2,2180873.0,2210000.0,37219.89,2137049.02,2282950.98,1.05,36.68,1
7,2,2180873.0,2141000.0,38089.95,2066343.7,2215656.3,1.03,36.57,1
8,2,2180873.0,2190000.0,37473.85,2116551.26,2263448.74,1.01,36.89,1
9,2,2180873.0,2149000.0,37434.42,2075628.54,2222371.46,1.04,36.62,1
0,3,4388299.0,4404000.0,33676.96,4337993.16,4470006.84,1.02,39.44,1
1,3,4388299.0,4368000.0,35151.69,4299102.69,4436897.31,1.05,39.73,1
2,3,4388299.0,4356000.0,33431.32,4290474.62,4421525.38,1.0,39.01,1
3,3,4388299.0,4381000.0,33307.08,4315718.13,4446281.87,0.99,38.99,1
4,3,4388299.0,4406000.0,34921.41,4337554.05,4474445.95,1.06,39.12,1
5,3,4388299.0,4396000.0,34992.38,4327414.93,4464585.07,1.01,39.59,1
6,3,4388299.0,4339000.0,34806.62,4270779.02,4407220.98,1.03,40.34,1
7,3,4388299.0,4387000.0,34802.67,4318786.77,4455213.23,1.04,39.79,1
8,3,4388299.0,4412000.0,34352.98,4344668.17,4479331.83,1.04,39.66,1
9,3,4388299.0,4337000.0,34214.38,4269939.81,4404060.19,1.0,39.43,1
0,4,1637487.0,1636000.0,34684.81,1568017.78,1703982.22,1.01,35.45,1
1,4,1637487.0,1558000.0,33826.84,1491699.39,1624300.61,1.01,36.22,0
2,4,1637487.0,1705000.0,34527.78,1637325.55,1772674.45,1.0,35.25,1
3,4,1637487.0,1597000.0,34831.66,1528729.95,1665270.05,1.03,35.79,1
4,4,1637487.0,1613000.0,34098.18,1546167.57,1679832.43,1.0,36.12,1
5,4,1637487.0,1670000.0,35114.18,1601176.21,1738823.79,1.04,36.35,1
6,4,1637487.0,1621000.0,34185.66,1553996.1,1688003.9,1.01,35.45,1
7,4,1637487.0,1708000.0,35516.79,1638387.1,1777612.9,1.02,35.78,0
8,4,1637487.0,1642000.0,34164.66,1575037.26,1708962.74,1.04,36.15,1
9,4,1637487.0,1633000.0,33180.25,1567966.7,1698033.3,1.01,36.38,1
0,5,1080692.0,1044000.0,30318.97,984574.83,1103425.17,1.0,34.36,1
1,5,1080692.0,1063000.0,30071.59,1004059.68,1121940.32,0.98,34.35,1
2,5,1080692.0,1114000.0,30290.24,1054631.14,1173368.86,1.02,34.94,1
3,5,1080692.0,1073000.0,29144.86,1015876.06,1130123.94,1.0,34.5,1
4,5,1080692.0,1081000.0,29130.58,1023904.06,1138095.94,0.99,34.32,1
5,5,1080692.0,1012000.0,28845.01,955463.79,1068536.21,1.0,34.45,0
6,5,1080692.0,1069000.0,29778.54,1010634.06,1127365.94,1.01,34.42,1
7,5,1080692.0,1096000.0,29600.77,1037982.49,1154017.51,1.05,34.16,1
8,5,1080692.0,1114000.0,29026.93,1057107.21,1170892.79,0.98,35.99,1
9,5,1080692.0,1066000.0,29659.71,1007866.98,1124133.02,1.05,34.31,1
0,6,1189459.0,1195000.0,30589.12,1135045.32,1254954.68,1.01,36.1,1
1,6,1189459.0,1172000.0,30820.36,1111592.1,1232407.9,1.02,36.1,1
2,6,1189459.0,1095000.0,30604.42,1035015.33,1154984.67,1.04,35.04,0
3,6,1189459.0,1160000.0,30565.76,1100091.12,1219908.88,1.0,35.17,1
4,6,1189459.0,1154000.0,31028.39,1093184.36,1214815.64,1.04,35.32,1
5,6,1189459.0,1200000.0,31021.11,1139198.63,1260801.37,1.04,34.88,1
6,6,1189459.0,1192000.0,29700.05,1133787.91,1250212.09,1.01,35.27,1
7,6,1189459.0,1180000.0,30730.14,1119768.92,1240231.08,1.02,34.9,1
8,6,1189459.0,1163000.0,29541.09,1105099.47,1220900.53,1.07,35.36,1
9,6,1189459.0,1215000.0,30983.17,1154272.98,1275727.02,1.02,34.82,1
0,7,933511.0,943000.0,27293.15,889505.43,996494.57,1.01,34.56,1
1,7,933511.0,977000.0,27936.04,922245.36,1031754.64,1.0,34.54,1
2,7,933511.0,973000.0,28545.06,917051.68,1028948.32,1.0,34.68,1
3,7,933511.0,922000.0,27966.94,867184.8,976815.2,1.04,34.87,1
4,7,933511.0,942000.0,27951.01,887216.01,996783.99,1.09,35.07,1
5,7,933511.0,957000.0,28734.56,900680.27,1013319.73,1.02,34.65,1
6,7,933511.0,912000.0,27671.87,857763.13,966236.87,1.01,34.43,1
7,7,933511.0,937000.0,28504.54,881131.1,992868.9,1.01,34.15,1
8,7,933511.0,912000.0,27222.18,858644.53,965355.47,1.05,34.78,1
9,7,933511.0,899000.0,27405.79,845284.65,952715.35,0.99,33.96,1
0,8,1788695.0,1820000.0,36090.08,1749263.45,1890736.55,1.02,35.0,1
1,8,1788695.0,1815000.0,35619.41,1745185.95,1884814.05,1.01,35.41,1
2,8,1788695.0,1788000.0,34727.37,1719934.35,1856065.65,1.03,35.2,1
3,8,1788695.0,1797000.0,34511.65,1729357.16,1864642.84,1.03,36.5,1
4,8,1788695.0,1800000.0,35821.41,1729790.03,1870209.97,1.01,36.94,1
