Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,278356.0,272800.0,5494.32,262031.13,283568.87,0.49,4.22,1
1,1,278356.0,281000.0,5463.55,270291.44,291708.56,0.41,3.6,1
2,1,278356.0,276200.0,5535.15,265351.1,287048.9,0.58,4.11,1
3,1,278356.0,281400.0,5250.48,271109.06,291690.94,0.51,4.68,1
4,1,278356.0,275200.0,5275.01,264860.98,285539.02,0.55,4.88,1
5,1,278356.0,283200.0,5539.04,272343.48,294056.52,0.45,4.34,1
6,1,278356.0,273000.0,5413.59,262389.36,283610.64,0.91,5.33,1
7,1,278356.0,272800.0,5357.05,262300.19,283299.81,0.96,5.79,1
8,1,278356.0,280600.0,5442.67,269932.37,291267.63,0.77,6.74,1
9,1,278356.0,276600.0,5611.0,265602.44,287597.56,0.94,6.19,1
0,2,218426.0,212200.0,5176.87,202053.33,222346.67,0.65,5.63,1
1,2,218426.0,217600.0,5433.72,206949.91,228250.09,0.55,5.78,1
2,2,218426.0,205600.0,5084.8,195633.78,215566.22,0.73,5.85,0
3,2,218426.0,215200.0,5270.21,204870.39,225529.61,0.48,4.28,1
4,2,218426.0,226800.0,5288.67,216434.21,237165.79,0.47,4.26,1
5,2,218426.0,208800.0,5103.45,198797.24,218802.76,0.47,4.17,1
6,2,218426.0,229800.0,5394.26,219227.26,240372.74,0.54,4.26,0
7,2,218426.0,219400.0,5183.74,209239.88,229560.12,0.7,5.26,1
8,2,218426.0,225400.0,5461.02,214696.4,236103.6,0.7,6.95,1
9,2,218426.0,229600.0,5265.36,219279.9,239920.1,0.45,4.15,0
0,3,429156.0,422600.0,4870.4,413054.02,432145.98,0.45,4.72,1
1,3,429156.0,429600.0,4770.65,420249.53,438950.47,0.43,4.08,1
2,3,429156.0,432000.0,4887.14,422421.21,441578.79,0.53,4.5,1
3,3,429156.0,430200.0,4841.6,420710.47,439689.53,0.86,5.78,1
4,3,429156.0,435000.0,4924.69,425347.61,444652.39,0.51,4.99,1
5,3,429156.0,426000.0,4863.46,416467.62,435532.38,0.47,5.54,1
6,3,429156.0,438000.0,4817.7,428557.3,447442.7,0.92,5.39,1
7,3,429156.0,435400.0,4758.2,426073.93,444726.07,0.92,8.05,1
8,3,429156.0,421800.0,4960.12,412078.16,431521.84,0.75,6.18,1
9,3,429156.0,425600.0,5033.37,415734.6,435465.4,0.45,5.4,1
0,4,163131.0,163200.0,4859.96,153674.49,172725.51,0.44,4.43,1
1,4,163131.0,170000.0,4913.27,160369.98,179630.02,0.43,3.86,1
2,4,163131.0,165800.0,4859.63,156275.12,175324.88,0.5,4.55,1
3,4,163131.0,164000.0,4798.97,154594.01,173405.99,0.48,4.35,1
4,4,163131.0,164800.0,4941.8,155114.08,174485.92,0.48,4.15,1
5,4,163131.0,163600.0,4863.3,154067.94,173132.06,0.48,4.15,1
6,4,163131.0,159600.0,4811.19,150170.06,169029.94,0.46,4.3,1
7,4,163131.0,167200.0,4996.47,157406.91,176993.09,0.57,4.53,1
8,4,163131.0,158800.0,4782.68,149425.95,168174.05,0.75,5.31,1
9,4,163131.0,165000.0,4852.86,155488.4,174511.6,0.49,4.53,1
0,5,107671.0,114600.0,4167.68,106431.35,122768.65,0.48,4.1,1
1,5,107671.0,111400.0,4308.27,102955.78,119844.22,0.51,4.22,1
2,5,107671.0,109000.0,4311.19,100550.06,117449.94,0.45,4.56,1
3,5,107671.0,108000.0,4177.87,99811.37,116188.63,0.48,4.32,1
4,5,107671.0,106200.0,4058.29,98245.75,114154.25,0.51,4.24,1
5,5,107671.0,109800.0,4258.62,101453.1,118146.9,0.53,4.2,1
6,5,107671.0,112000.0,4166.08,103834.48,120165.52,0.44,4.18,1
7,5,107671.0,105200.0,4162.08,97042.32,113357.68,0.47,3.88,1
8,5,107671.0,105800.0,4190.26,97587.08,114012.92,0.49,4.21,1
