Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,27856078.0,27943400.0,55318.05,27834976.61,28051823.39,4.16,208.02,1
1,1,27856078.0,27737800.0,50514.04,27638792.48,27836807.52,5.06,198.47,0
2,1,27856078.0,27934800.0,52396.9,27832102.08,28037497.92,4.34,193.26,1
3,1,27856078.0,27785200.0,52790.89,27681729.85,27888670.15,4.44,182.09,1
4,1,27856078.0,27827000.0,50706.59,27727615.08,27926384.92,4.4,175.5,1
5,1,27856078.0,27818800.0,52633.75,27715637.85,27921962.15,4.4,180.77,1
6,1,27856078.0,27830400.0,56805.56,27719061.09,27941738.91,4.45,175.22,1
7,1,27856078.0,27905800.0,56002.07,27796035.94,28015564.06,4.36,173.66,1
8,1,27856078.0,27891400.0,53941.1,27785675.44,27997124.56,4.3,167.55,1
9,1,27856078.0,27735000.0,53274.31,27630582.36,27839417.64,4.19,163.89,0
0,2,21809885.0,21759200.0,51426.23,21658404.59,21859995.41,4.33,153.38,1
1,2,21809885.0,21757800.0,53575.92,21652791.19,21862808.81,4.36,155.65,1
2,2,21809885.0,21722200.0,55037.5,21614326.5,21830073.5,4.37,159.32,1
3,2,21809885.0,21698800.0,49231.2,21602306.85,21795293.15,4.29,148.74,0
4,2,21809885.0,21782000.0,55229.18,21673750.82,21890249.18,4.21,147.43,1
5,2,21809885.0,21849000.0,55352.5,21740509.1,21957490.9,4.27,150.2,1
6,2,21809885.0,21815200.0,52814.35,21711683.88,21918716.12,4.31,153.37,1
7,2,21809885.0,21804400.0,52416.0,21701664.64,21907135.36,4.27,164.46,1
8,2,21809885.0,21750000.0,53499.93,21645140.15,21854859.85,4.31,162.15,1
9,2,21809885.0,21748200.0,50118.34,21649968.06,21846431.94,4.32,154.47,1
0,3,43877172.0,43888000.0,49271.11,43791428.63,43984571.37,4.22,172.61,1
1,3,43877172.0,43955600.0,47116.82,43863251.03,44047948.97,4.36,186.6,1
2,3,43877172.0,43943400.0,51192.12,43843063.45,44043736.55,4.34,189.1,1
3,3,43877172.0,43896400.0,47107.74,43804068.82,43988731.18,4.35,186.37,1
4,3,43877172.0,43890200.0,46209.05,43799630.26,43980769.74,4.28,189.68,1
5,3,43877172.0,43919600.0,47839.75,43825834.09,44013365.91,4.35,172.6,1
6,3,43877172.0,43865400.0,49658.69,43768068.98,43962731.02,4.25,187.49,1
7,3,43877172.0,43932200.0,48181.88,43837763.52,44026636.48,5.13,190.63,1
8,3,43877172.0,43846000.0,50253.34,43747503.44,43944496.56,4.26,174.31,1
9,3,43877172.0,43843200.0,48582.22,43747978.85,43938421.15,4.34,175.1,1
0,4,16357096.0,16457400.0,50485.56,16358448.3,16556351.7,4.18,135.58,0
1,4,16357096.0,16298400.0,51537.06,16197387.36,16399412.64,4.26,135.58,1
2,4,16357096.0,16342000.0,48761.78,16246426.91,16437573.09,4.2,135.12,1
3,4,16357096.0,16362800.0,52356.34,16260181.57,16465418.43,4.4,148.35,1
4,4,16357096.0,16478000.0,47572.13,16384758.63,16571241.37,4.26,136.97,0
5,4,16357096.0,16398000.0,49366.55,16301241.55,16494758.45,4.17,138.67,1
6,4,16357096.0,16367800.0,50556.89,16268708.49,16466891.51,4.3,142.12,1
7,4,16357096.0,16360600.0,48958.77,16264640.81,16456559.19,4.48,146.1,1
8,4,16357096.0,16305400.0,48174.29,16210978.38,16399821.62,4.66,149.44,1
9,4,16357096.0,16302800.0,47993.98,16208731.79,16396868.21,4.47,149.61,1
0,5,10792922.0,10780200.0,39898.1,10701999.72,10858400.28,4.35,124.58,1
1,5,10792922.0,10762400.0,40510.68,10682999.07,10841800.93,4.58,123.25,1
2,5,10792922.0,10811400.0,40050.27,10732901.48,10889898.52,4.25,127.3,1
3,5,10792922.0,10809200.0,42982.82,10724953.66,10893446.34,4.15,120.31,1
4,5,10792922.0,10873600.0,42801.97,10789708.13,10957491.87,4.31,135.47,1
5,5,10792922.0,10790200.0,43119.35,10705686.06,10874713.94,4.36,122.17,1
6,5,10792922.0,10822800.0,45243.8,10734122.15,10911477.85,4.31,129.35,1
7,5,10792922.0,10785800.0,44686.5,10698214.45,10873385.55,4.3,128.14,1
8,5,10792922.0,10798600.0,40297.11,10719617.67,10877582.33,4.5,136.33,1
9,5,10792922.0,10770400.0,44212.45,10683743.61,10857056.39,4.44,156.93,1
0,6,11893287.0,11904000.0,44112.92,11817538.68,11990461.32,5.8,143.13,1
1,6,11893287.0,11833200.0,43882.26,11747190.77,11919209.23,5.87,194.41,1
2,6,11893287.0,11861600.0,44167.0,11775032.68,11948167.32,4.52,153.35,1
3,6,11893287.0,11878600.0,40420.89,11799375.05,11957824.95,4.33,132.4,1
4,6,11893287.0,11843800.0,45855.46,11753923.31,11933676.69,4.26,124.65,1
5,6,11893287.0,11936800.0,43386.99,11851761.49,12021838.51,4.19,125.52,1
6,6,11893287.0,11926600.0,42820.83,11842671.17,12010528.83,4.33,125.75,1
7,6,11893287.0,11903200.0,48709.12,11807730.12,11998669.88,4.31,138.35,1
8,6,11893287.0,11884800.0,45209.09,11796190.18,11973409.82,4.26,124.44,1
9,6,11893287.0,11870400.0,40548.8,11790924.35,11949875.65,4.28,124.67,1
0,7,9358372.0,9319600.0,43763.14,9233824.25,9405375.75,4.28,117.1,1
1,7,9358372.0,9417600.0,39705.57,9339777.08,9495422.92,5.8,148.01,1
2,7,9358372.0,9323600.0,39783.38,9245624.57,9401575.43,4.28,128.81,1
3,7,9358372.0,9405400.0,43861.84,9319430.79,9491369.21,4.23,121.63,1
4,7,9358372.0,9351800.0,42091.32,9269301.02,9434298.98,4.94,127.18,1
5,7,9358372.0,9371400.0,38139.08,9296647.39,9446152.61,5.33,133.97,1
6,7,9358372.0,9388400.0,36789.44,9316292.69,9460507.31,4.36,132.95,1
7,7,9358372.0,9356600.0,40113.13,9277978.27,9435221.73,4.08,114.36,1
8,7,9358372.0,9373200.0,40223.54,9294361.87,9452038.13,4.6,126.89,1
9,7,9358372.0,9375200.0,37379.01,9301937.14,9448462.86,4.05,114.91,1
0,8,17857544.0,17833600.0,45480.85,17744457.54,17922742.46,4.14,134.85,1
1,8,17857544.0,17844200.0,48710.48,17748727.47,17939672.53,4.21,131.22,1
2,8,17857544.0,17907600.0,47155.88,17815174.48,18000025.52,4.32,132.55,1
3,8,17857544.0,17885400.0,48301.12,17790729.8,17980070.2,4.09,123.7,1
4,8,17857544.0,17768800.0,48661.51,17673423.44,17864176.56,4.13,125.88,1
5,8,17857544.0,17804000.0,52361.3,17701371.86,17906628.14,4.28,132.42,1
6,8,17857544.0,17796400.0,47026.59,17704227.88,17888572.12,4.23,132.57,1
7,8,17857544.0,17900200.0,52451.45,17797395.16,18003004.84,4.5,140.7,1
8,8,17857544.0,17955400.0,50792.89,17855845.93,18054954.07,4.06,122.27,1
9,8,17857544.0,17848600.0,45346.55,17759720.76,17937479.24,4.39,126.46,1
0,9,16388790.0,16346400.0,44509.05,16259162.27,16433637.73,4.52,192.11,1
1,9,16388790.0,16475600.0,49472.4,16378634.1,16572565.9,4.3,194.23,1
2,9,16388790.0,16434000.0,45280.51,16345250.21,16522749.79,4.59,202.32,1
3,9,16388790.0,16335800.0,49563.29,16238655.95,16432944.05,4.35,196.53,1
4,9,16388790.0,16398800.0,53945.69,16293066.44,16504533.56,4.33,186.86,1
5,9,16388790.0,16359200.0,48317.84,16264497.03,16453902.97,4.33,195.73,1
6,9,16388790.0,16345400.0,45852.57,16255528.96,16435271.04,4.37,196.06,1
7,9,16388790.0,16381800.0,49522.52,16284735.86,16478864.14,4.25,195.46,1
8,9,16388790.0,16353200.0,47010.74,16261058.95,16445341.05,4.41,195.85,1
9,9,16388790.0,16473800.0,50959.88,16373918.63,16573681.37,4.35,196.89,1
0,10,27260816.0,27256600.0,56391.4,27146072.86,27367127.14,4.2,201.75,1
1,10,27260816.0,27300000.0,58209.87,27185908.65,27414091.35,4.5,195.01,1
2,10,27260816.0,27220800.0,51663.55,27119539.45,27322060.55,4.41,187.14,1
3,10,27260816.0,27246200.0,51005.92,27146228.39,27346171.61,4.38,198.61,1
4,10,27260816.0,27145600.0,56752.35,27034365.4,27256834.6,4.25,190.79,0
5,10,27260816.0,27347000.0,51805.42,27245461.38,27448538.62,4.56,197.0,1
6,10,27260816.0,27205400.0,54508.18,27098563.97,27312236.03,4.24,206.0,1
7,10,27260816.0,27259400.0,49822.95,27161747.01,27357052.99,4.42,196.63,1
8,10,27260816.0,27218800.0,53583.24,27113776.85,27323823.15,4.43,194.01,1
9,10,27260816.0,27175200.0,49828.32,27077536.5,27272863.5,4.22,204.19,1
