Run number,Query Number,GT,EST,STD,Lower_CI,Upper_CI,RNG_Time,Total_Time,Hit
0,1,2785246.0,2796600.0,13301.32,2770529.41,2822670.59,1.13,49.65,1
1,1,2785246.0,2797600.0,12062.9,2773956.71,2821243.29,0.98,42.79,1
2,1,2785246.0,2787500.0,12520.18,2762960.45,2812039.55,1.07,47.29,1
3,1,2785246.0,2786200.0,12662.99,2761380.54,2811019.46,1.0,43.22,1
4,1,2785246.0,2788400.0,11955.28,2764967.65,2811832.35,1.18,44.58,1
5,1,2785246.0,2758400.0,12553.56,2733795.02,2783004.98,0.99,44.23,0
6,1,2785246.0,2796700.0,13089.72,2771044.15,2822355.85,1.07,45.07,1
7,1,2785246.0,2790200.0,12724.2,2765260.56,2815139.44,1.01,43.74,1
8,1,2785246.0,2791500.0,11811.89,2768348.7,2814651.3,0.99,42.43,1
9,1,2785246.0,2787300.0,12467.87,2762862.97,2811737.03,0.98,42.27,1
0,2,2180873.0,2195700.0,11414.45,2173327.67,2218072.33,0.97,41.67,1
1,2,2180873.0,2174600.0,11042.27,2152957.16,2196242.84,0.98,41.98,1
2,2,2180873.0,2178600.0,11246.88,2156556.12,2200643.88,0.99,41.77,1
3,2,2180873.0,2190000.0,10954.11,2168529.94,2211470.06,0.99,42.06,1
4,2,2180873.0,2179300.0,10596.88,2158530.11,2200069.89,0.97,42.03,1
5,2,2180873.0,2183400.0,12258.84,2159372.67,2207427.33,1.01,41.66,1
6,2,2180873.0,2175100.0,10897.8,2153740.32,2196459.68,0.97,41.79,1
7,2,2180873.0,2180500.0,12035.4,2156910.61,2204089.39,1.01,41.57,1
8,2,2180873.0,2192700.0,11383.16,2170389.01,2215010.99,1.03,42.35,1
9,2,2180873.0,2175000.0,12865.58,2149783.46,2200216.54,0.99,43.15,1
0,3,4388299.0,4389600.0,11184.66,4367678.07,4411521.93,1.04,44.46,1
1,3,4388299.0,4389800.0,10491.62,4369236.43,4410363.57,1.0,44.03,1
2,3,4388299.0,4385100.0,10636.05,4364253.34,4405946.66,0.98,44.22,1
3,3,4388299.0,4389100.0,11469.93,4366618.93,4411581.07,0.98,44.07,1
4,3,4388299.0,4379100.0,11008.47,4357523.4,4400676.6,0.98,44.39,1
5,3,4388299.0,4380500.0,10497.6,4359924.7,4401075.3,1.04,44.93,1
6,3,4388299.0,4383000.0,10818.28,4361796.17,4404203.83,1.0,44.32,1
7,3,4388299.0,4380400.0,10057.22,4360687.84,4400112.16,0.98,45.32,1
8,3,4388299.0,4381800.0,11923.62,4358429.71,4405170.29,1.03,44.37,1
9,3,4388299.0,4389100.0,10907.18,4367721.93,4410478.07,0.97,43.91,1
0,4,1637487.0,1627700.0,11103.0,1605938.11,1649461.89,0.99,40.48,1
1,4,1637487.0,1651300.0,10902.1,1629931.88,1672668.12,1.02,40.93,1
2,4,1637487.0,1641100.0,11123.81,1619297.34,1662902.66,1.15,41.3,1
3,4,1637487.0,1631500.0,11431.6,1609094.06,1653905.94,0.98,40.8,1
4,4,1637487.0,1627100.0,10892.83,1605750.06,1648449.94,0.97,40.61,1
5,4,1637487.0,1661200.0,11232.41,1639184.48,1683215.52,0.98,40.94,0
6,4,1637487.0,1641600.0,11016.14,1620008.37,1663191.63,0.98,40.5,1
7,4,1637487.0,1635600.0,10479.9,1615059.4,1656140.6,1.08,40.66,1
8,4,1637487.0,1642100.0,11737.45,1619094.59,1665105.41,0.97,40.75,1
9,4,1637487.0,1635900.0,10439.05,1615439.47,1656360.53,1.04,41.12,1
0,5,1080692.0,1065900.0,9283.95,1047703.47,1084096.53,1.01,40.0,1
1,5,1080692.0,1092700.0,9760.86,1073568.72,1111831.28,0.99,39.5,1
2,5,1080692.0,1082100.0,8946.85,1064564.17,1099635.83,1.02,39.61,1
3,5,1080692.0,1076800.0,8546.67,1060048.52,1093551.48,1.01,39.72,1
4,5,1080692.0,1075800.0,8506.28,1059127.7,1092472.3,0.98,39.79,1
5,5,1080692.0,1089100.0,9043.35,1071375.03,1106824.97,0.98,39.61,1
6,5,1080692.0,1083600.0,8657.73,1066630.84,1100569.16,0.97,39.46,1
7,5,1080692.0,1090100.0,9985.08,1070529.23,1109670.77,1.0,39.74,1
8,5,1080692.0,1080700.0,9441.84,1062193.99,1099206.01,0.99,39.73,1
9,5,1080692.0,1073700.0,9896.55,1054302.77,1093097.23,1.09,39.37,1
0,6,1189459.0,1204700.0,9450.66,1186176.71,1223223.29,0.99,40.24,1
1,6,1189459.0,1171000.0,8836.61,1153680.25,1188319.75,0.99,39.91,0
2,6,1189459.0,1194900.0,9310.93,1176650.57,1213149.43,0.97,39.77,1
3,6,1189459.0,1184100.0,9684.94,1165117.53,1203082.47,1.0,40.3,1
4,6,1189459.0,1186700.0,9849.48,1167395.01,1206004.99,0.98,40.16,1
5,6,1189459.0,1191200.0,10823.49,1169985.97,1212414.03,1.03,40.38,1
6,6,1189459.0,1182300.0,9250.83,1164168.38,1200431.62,0.99,39.62,1
7,6,1189459.0,1185100.0,9350.27,1166773.46,1203426.54,1.02,40.2,1
8,6,1189459.0,1199700.0,8941.7,1182174.26,1217225.74,1.01,39.84,1
9,6,1189459.0,1208900.0,9049.91,1191162.19,1226637.81,1.0,39.58,0
0,7,933511.0,939800.0,8471.44,923195.97,956404.03,1.1,39.83,1
1,7,933511.0,932800.0,9309.86,914552.68,951047.32,1.2,46.48,1
2,7,933511.0,922400.0,9471.29,903836.27,940963.73,1.24,46.25,1
3,7,933511.0,947700.0,8831.44,930390.37,965009.63,1.02,61.83,1
4,7,933511.0,927500.0,8295.38,911241.06,943758.94,1.01,39.82,1
5,7,933511.0,935800.0,9109.45,917945.48,953654.52,1.0,39.34,1
6,7,933511.0,932600.0,8804.24,915343.69,949856.31,1.0,39.23,1
7,7,933511.0,936900.0,8469.58,920299.63,953500.37,0.97,41.89,1
8,7,933511.0,931600.0,9296.46,913378.94,949821.06,1.02,39.73,1
9,7,933511.0,927600.0,9001.86,909956.36,945243.64,0.99,39.56,1
0,8,1788695.0,1804500.0,12121.67,1780741.52,1828258.48,0.98,40.27,1
1,8,1788695.0,1783300.0,11774.17,1760222.63,1806377.37,0.99,40.61,1
2,8,1788695.0,1799800.0,10567.14,1779088.41,1820511.59,1.0,40.2,1
3,8,1788695.0,1791400.0,11451.35,1768955.35,1813844.65,0.99,40.2,1
4,8,1788695.0,1796500.0,11518.74,1773923.28,1819076.72,1.03,40.38,1
5,8,1788695.0,1784800.0,10833.51,1763566.32,1806033.68,1.0,41.17,1
6,8,1788695.0,1786800.0,11692.44,1763882.82,1809717.18,0.97,40.1,1
7,8,1788695.0,1786100.0,10720.04,1765088.72,1807111.28,1.03,40.48,1
8,8,1788695.0,1790300.0,10303.89,1770104.38,1810495.62,1.0,40.29,1
9,8,1788695.0,1783600.0,10726.17,1762576.7,1804623.3,0.99,40.44,1
0,9,1654343.0,1661100.0,11158.59,1639229.16,1682970.84,1.08,44.77,1
1,9,1654343.0,1640800.0,11240.54,1618768.53,1662831.47,1.02,45.22,1
2,9,1654343.0,1670300.0,11368.38,1648017.97,1692582.03,1.21,45.02,1
3,9,1654343.0,1656200.0,10041.93,1636517.82,1675882.18,1.13,51.08,1
4,9,1654343.0,1660700.0,10723.64,1639681.66,1681718.34,1.0,45.28,1
5,9,1654343.0,1665500.0,11999.99,1641980.01,1689019.99,1.34,46.83,1
6,9,1654343.0,1653800.0,11772.44,1630726.02,1676873.98,0.98,45.11,1
7,9,1654343.0,1659000.0,11531.01,1636399.21,1681600.79,1.01,45.18,1
8,9,1654343.0,1650700.0,10721.02,1629686.8,1671713.2,1.0,45.02,1
9,9,1654343.0,1658100.0,10609.67,1637305.05,1678894.95,1.08,45.32,1
0,10,2715503.0,2740000.0,12357.63,2715779.04,2764220.96,1.08,47.31,0
1,10,2715503.0,2720100.0,13265.12,2694100.36,2746099.64,1.07,46.99,1
2,10,2715503.0,2708700.0,11795.37,2685581.08,2731818.92,1.08,47.68,1
3,10,2715503.0,2703900.0,12209.28,2679969.82,2727830.18,1.01,45.58,1
4,10,2715503.0,2708500.0,12699.16,2683609.64,2733390.36,1.06,47.16,1
5,10,2715503.0,2735900.0,12477.88,2711443.35,2760356.65,1.01,46.1,1
6,10,2715503.0,2697100.0,12132.72,2673319.86,2720880.14,1.1,47.51,1
7,10,2715503.0,2740600.0,12255.72,2716578.79,2764621.21,1.13,46.69,0
8,10,2715503.0,2705200.0,13135.28,2679454.85,2730945.15,1.14,47.51,1
9,10,2715503.0,2717300.0,11457.15,2694843.98,2739756.02,1.45,56.39,1
